Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 28 de março de 2026 - 19:01h
Módulo Transferencia de arquivo - Componente Qualidade | Visão Geral - Componente Qualidade
Dado Preliminar

Dados Sócio Demográficos:
UF: BA
Município: 291210 / IBICARAÍ

Filtro:
Competência selecionada: JAN/26
Indicador selecionado: Visão Geral - Componente Qualidade
Visualizacao: Monitoramento

Competência/Ano;UF;IBGE Município;Nome Município;Condição de Equipe;CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;C1 - Mais acesso à APS;Classificação;C2 - Cuidado no desenvolvimento infantil;Classificação;C3 - Cuidado na gestação e puerpério;Classificação;C4 - Cuidado da pessoa com diabetes;Classificação;C5 - Cuidado da pessoa com hipertensão;Classificação;C6 - Cuidado da pessoa idosa;Classificação;C7 - Cuidado da mulher na prevenção do câncer;Classificação;B1 - Primeira consulta programada;Classificação;B2 - Tratamento concluído;Classificação;B3 - Taxa de exodontia;Classificação;B4 - Escovação supervisionada em faixa etária escolar;Classificação;B5 - Procedimentos odontológicos preventivos;Classificação;B6 - Tratamento restaurador atraumático;Classificação;M1 - Média de atendimentos por pessoa pela eMulti na APS;Classificação;M2 - Ações interprofissionais realizadas pela eMulti na APS;Classificação;CR1 - Mais acesso à eCR;Classificação;CR2 - Cuidado na gestação;Classificação;CR3 - Rastreio de infecções sexualmente transmissíveis;Classificação;CR4 - Cuidado da pessoa com tuberculose;Classificação;P1 - Mais acesso à Atenção Primária Prisional;Classificação;P2 - Cuidado na Gestação;Classificação;P3 - Cuidado da pessoa com diabetes e ou hipertensão;Classificação;P4 - Rastreio de infecções sexualmente transmissíveis;Classificação;P6 - Cuidado da mulher na prevenção do câncer;Classificação
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"3917746	";"UNIDADE SAUDE DA FAMILIA CLEIDSON DIAS CARDOSO	";"02	";"0000193151	";"ESF CLEIDSON DIAS CARDOSO	";"eSF	";"7.14	";"REGULAR	";"20.48	";"REGULAR	";"49.5	";"SUFICIENTE	";"57.47	";"BOM	";"68.99	";"BOM	";"56.69	";"BOM	";"46.84	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412721	";"UNIDADE SAUDE DA FAMILIA NERICIA SALES SOUZA MENEZES	";"02	";"0000193070	";"NERICIA SALES	";"eSF	";"16.25	";"SUFICIENTE	";"30.67	";"SUFICIENTE	";"32.5	";"SUFICIENTE	";"65.1	";"BOM	";"73.69	";"BOM	";"56.28	";"BOM	";"60.18	";"BOM	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412756	";"UNIDADE SAUDE DA FAMILIA DR HENRIQUE PIMENTEL SAMPAIO	";"02	";"0000193097	";"DR. HENRIQUE PIMENTEL SAMPAIO	";"eSF	";"0	";"REGULAR	";"26.09	";"SUFICIENTE	";"41.25	";"SUFICIENTE	";"50.88	";"BOM	";"54.18	";"BOM	";"44.79	";"SUFICIENTE	";"39.48	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412748	";"UNIDADE SAUDE DA FAMILIA ISRAEL MENDONCA	";"02	";"0000193089	";"ISRAEL MENDONCA	";"eSF	";"7.14	";"REGULAR	";"28.26	";"SUFICIENTE	";"39.27	";"SUFICIENTE	";"66.14	";"BOM	";"66.6	";"BOM	";"57.6	";"BOM	";"37.44	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412624	";"UNIDADE SAUDE DA FAMILIA JOSE VIEIRA DE MENEZES	";"02	";"0000193062	";"JOSE VIEIRA DE MENEZES	";"eSF	";"14.48	";"SUFICIENTE	";"26.09	";"SUFICIENTE	";"46.57	";"SUFICIENTE	";"72	";"BOM	";"77.15	";"ÓTIMO	";"60.14	";"BOM	";"46.49	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412780	";"UNIDADE SAUDE DA FAMILIA OLYNTHO MATOS	";"02	";"0000193119	";"OLYNTHO MATOS	";"eSF	";"13.89	";"SUFICIENTE	";"22.29	";"REGULAR	";"43.53	";"SUFICIENTE	";"68.91	";"BOM	";"73.96	";"BOM	";"63.26	";"BOM	";"60.33	";"BOM	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"3128342	";"UNIDADE SAUDE DA FAMILIA OSEAS PEIXOTO	";"02	";"0000193143	";"OSEAS PEIXOTO	";"eSF	";"3.85	";"REGULAR	";"33.33	";"SUFICIENTE	";"34.58	";"SUFICIENTE	";"68.37	";"BOM	";"62.5	";"BOM	";"54.75	";"BOM	";"48.61	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412764	";"UNIDADE SAUDE DA FAMILIA LAURO FIGUEIREDO PIRES	";"02	";"0000193100	";"LAURO FIGUEIREDO PIRES	";"eSF	";"1.37	";"REGULAR	";"20.54	";"REGULAR	";"34.56	";"SUFICIENTE	";"57.68	";"BOM	";"62.95	";"BOM	";"55.22	";"BOM	";"50.65	";"BOM	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412799	";"UNIDADE SAUDE DA FAMILIA DR ANTONIO VIEIRA DE BRITO	";"02	";"0000193127	";"DR. FERREIRINHA	";"eSF	";"0.58	";"REGULAR	";"25.79	";"SUFICIENTE	";"38.74	";"SUFICIENTE	";"63.28	";"BOM	";"74.68	";"BOM	";"55.44	";"BOM	";"45.43	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"5889995	";"UNIDADE SAUDE DA FAMILIA CORINA BATISTA	";"02	";"0000193186	";"CORINA BATISTA	";"eSF	";"26.14	";"SUFICIENTE	";"38.46	";"SUFICIENTE	";"48.08	";"SUFICIENTE	";"72.09	";"BOM	";"74.64	";"BOM	";"62.08	";"BOM	";"49.01	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
